"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,1152,0.0005718667,0.01116004
0,1155,0.0005704027,0.01114849
0,1158,0.0005689369,0.01113693
0,1161,0.0005674693,0.01112535
0,1164,0.0005660002,0.01111376
0,1167,0.0005645294,0.01110215
0,1170,0.000563057,0.01109052
0,1173,0.0005615831,0.01107888
0,1176,0.0005601077,0.01106722
0,1179,0.0005586309,0.01105555
0,1182,0.0005571527,0.01104387
0,1185,0.0005556731,0.01103217
0,1188,0.0005541922,0.01102045
0,1191,0.00055271,0.01100872
0,1194,0.0005512267,0.01099697
0,1197,0.0005497421,0.01098521
0,1200,0.0005482564,0.01097343
0,1203,0.0005467696,0.01096164
0,1206,0.0005452817,0.01094984
0,1209,0.0005437928,0.01093802
0,1212,0.0005423031,0.01092618
0,1215,0.0005408123,0.01091433
0,1218,0.0005393207,0.01090247
0,1221,0.0005378283,0.01089059
0,1224,0.0005363349,0.0108787
0,1227,0.000534841,0.01086679
0,1230,0.0005333462,0.01085487
0,1233,0.0005318508,0.01084293
0,1236,0.0005303548,0.01083098
0,1239,0.0005288582,0.01081902
0,1242,0.000527361,0.01080704
0,1245,0.0005258633,0.01079504
0,1248,0.0005243652,0.01078304
0,1251,0.0005228666,0.01077102
0,1254,0.0005213676,0.01075899
0,1257,0.0005198683,0.01074694
0,1260,0.0005183686,0.01073488
0,1263,0.0005168687,0.0107228
0,1266,0.0005153686,0.01071072
0,1269,0.0005138683,0.01069861
0,1272,0.0005123678,0.0106865
0,1275,0.0005108672,0.01067437
0,1278,0.0005093665,0.01066223
0,1281,0.0005078658,0.01065008
0,1284,0.0005063651,0.01063791
0,1287,0.0005048644,0.01062573
0,1290,0.0005033638,0.01061354
0,1293,0.0005018633,0.01060133
0,1296,0.0005003629,0.01058912
0,1299,0.0004988628,0.01057689
0,1302,0.0004973629,0.01056464
0,1305,0.0004958631,0.01055239
0,1308,0.0004943638,0.01054012
0,1311,0.0004928647,0.01052784
0,1314,0.000491366,0.01051555
0,1317,0.0004898677,0.01050324
0,1320,0.0004883698,0.01049093
0,1323,0.0004868724,0.0104786
0,1326,0.0004853756,0.01046626
0,1329,0.0004838792,0.01045391
0,1332,0.0004823834,0.01044155
0,1335,0.0004808882,0.01042917
0,1338,0.0004793937,0.01041678
0,1341,0.0004778999,0.01040439
0,1344,0.0004764067,0.01039198
0,1347,0.0004749143,0.01037956
0,1350,0.0004734227,0.01036713
0,1353,0.0004719318,0.01035469
0,1356,0.0004704419,0.01034223
