"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,684,0.003166789,0.05516663
0,687,0.003162533,0.05509922
0,690,0.003158291,0.05503212
0,693,0.003154062,0.05496531
0,696,0.003149843,0.05489879
0,699,0.003145635,0.05483256
0,702,0.003141436,0.05476661
0,705,0.003137245,0.05470092
0,708,0.003133061,0.0546355
0,711,0.003128882,0.05457034
0,714,0.003124709,0.05450542
0,717,0.00312054,0.05444076
0,720,0.003116373,0.05437633
0,723,0.003112209,0.05431213
0,726,0.003108046,0.05424816
0,729,0.003103883,0.05418442
0,732,0.003099721,0.05412089
0,735,0.003095557,0.05405757
0,738,0.003091391,0.05399446
0,741,0.003087223,0.05393155
0,744,0.003083051,0.05386884
0,747,0.003078875,0.05380631
0,750,0.003074695,0.05374398
0,753,0.00307051,0.05368182
0,756,0.003066319,0.05361984
0,759,0.003062121,0.05355804
0,762,0.003057916,0.0534964
0,765,0.003053704,0.05343493
0,768,0.003049484,0.05337361
0,771,0.003045256,0.05331245
0,774,0.003041018,0.05325144
0,777,0.003036771,0.05319058
0,780,0.003032514,0.05312986
0,783,0.003028247,0.05306928
0,786,0.003023969,0.05300883
0,789,0.00301968,0.05294852
0,792,0.003015379,0.05288833
0,795,0.003011067,0.05282827
0,798,0.003006742,0.05276833
0,801,0.003002405,0.05270851
0,804,0.002998055,0.0526488
0,807,0.002993692,0.0525892
0,810,0.002989315,0.05252971
0,813,0.002984924,0.05247032
0,816,0.00298052,0.05241103
0,819,0.002976101,0.05235184
0,822,0.002971668,0.05229275
0,825,0.00296722,0.05223375
0,828,0.002962756,0.05217483
0,831,0.002958278,0.05211601
0,834,0.002953785,0.05205727
0,837,0.002949276,0.0519986
0,840,0.002944751,0.05194002
0,843,0.00294021,0.05188151
0,846,0.002935653,0.05182307
0,849,0.00293108,0.05176471
0,852,0.002926491,0.05170641
0,855,0.002921885,0.05164818
0,858,0.002917263,0.05159001
0,861,0.002912624,0.0515319
0,864,0.002907968,0.05147385
0,867,0.002903296,0.05141585
0,870,0.002898606,0.05135791
0,873,0.002893899,0.05130002
0,876,0.002889176,0.05124218
0,879,0.002884435,0.05118439
0,882,0.002879677,0.05112665
0,885,0.002874902,0.05106895
0,888,0.002870109,0.05101129
0,891,0.002865299,0.05095367
0,894,0.002860472,0.05089609
0,897,0.002855627,0.05083854
0,900,0.002850765,0.05078103
