"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,639,0.002958904,0.04818482,0.1471684
0,642,0.002955147,0.04811582,0.1469131
0,645,0.002951437,0.04804756,0.1466611
0,648,0.002947774,0.04798,0.1464124
0,651,0.002944154,0.04791315,0.146167
0,654,0.002940577,0.04784697,0.1459246
0,657,0.002937038,0.04778146,0.1456853
0,660,0.002933537,0.0477166,0.145449
0,663,0.002930071,0.04765237,0.1452157
0,666,0.002926638,0.04758875,0.1449852
0,669,0.002923236,0.04752574,0.1447575
0,672,0.002919865,0.04746332,0.1445325
0,675,0.00291652,0.04740147,0.1443102
0,678,0.002913202,0.04734018,0.1440905
0,681,0.002909909,0.04727944,0.1438734
0,684,0.002906638,0.04721924,0.1436588
0,687,0.002903389,0.04715955,0.1434466
0,690,0.002900159,0.04710037,0.1432368
0,693,0.002896947,0.04704169,0.1430294
0,696,0.002893753,0.04698349,0.1428242
0,699,0.002890573,0.04692576,0.1426213
0,702,0.002887408,0.0468685,0.1424205
0,705,0.002884256,0.04681169,0.1422219
0,708,0.002881116,0.04675532,0.1420254
0,711,0.002877986,0.04669937,0.1418309
0,714,0.002874865,0.04664385,0.1416383
0,717,0.002871753,0.04658873,0.1414478
0,720,0.002868648,0.04653402,0.1412591
0,723,0.002865549,0.04647969,0.1410723
0,726,0.002862455,0.04642574,0.1408873
0,729,0.002859365,0.04637216,0.1407041
0,732,0.002856279,0.04631894,0.1405227
0,735,0.002853194,0.04626608,0.1403429
0,738,0.002850111,0.04621356,0.1401648
0,741,0.002847029,0.04616138,0.1399883
0,744,0.002843946,0.04610952,0.1398134
0,747,0.002840863,0.04605799,0.1396401
0,750,0.002837777,0.04600677,0.1394682
0,753,0.002834689,0.04595584,0.1392979
0,756,0.002831598,0.04590522,0.139129
0,759,0.002828503,0.04585489,0.1389615
0,762,0.002825403,0.04580484,0.1387954
0,765,0.002822299,0.04575506,0.1386306
0,768,0.002819188,0.04570555,0.1384672
0,771,0.002816071,0.04565631,0.1383051
0,774,0.002812946,0.04560732,0.1381442
0,777,0.002809815,0.04555858,0.1379845
0,780,0.002806675,0.04551008,0.1378261
0,783,0.002803527,0.04546181,0.1376688
0,786,0.002800369,0.04541378,0.1375127
0,789,0.002797203,0.04536597,0.1373577
0,792,0.002794026,0.04531838,0.1372038
0,795,0.002790838,0.04527101,0.1370509
0,798,0.00278764,0.04522383,0.1368991
0,801,0.002784431,0.04517687,0.1367483
0,804,0.00278121,0.0451301,0.1365986
0,807,0.002777977,0.04508352,0.1364498
0,810,0.002774731,0.04503712,0.1363019
0,813,0.002771473,0.04499091,0.136155
0,816,0.002768202,0.04494487,0.1360089
0,819,0.002764917,0.04489901,0.1358638
0,822,0.002761619,0.04485331,0.1357195
0,825,0.002758307,0.04480778,0.1355761
0,828,0.00275498,0.04476241,0.1354335
0,831,0.00275164,0.04471719,0.1352917
0,834,0.002748284,0.04467211,0.1351506
0,837,0.002744913,0.04462719,0.1350103
0,840,0.002741528,0.0445824,0.1348708
0,843,0.002738126,0.04453775,0.134732
0,846,0.00273471,0.04449324,0.1345939
0,849,0.002731277,0.04444885,0.1344565
0,852,0.002727828,0.04440458,0.1343198
0,855,0.002724363,0.04436044,0.1341837
0,858,0.002720882,0.04431642,0.1340482
0,861,0.002717384,0.04427252,0.1339134
0,864,0.00271387,0.04422872,0.1337792
0,867,0.002710338,0.04418503,0.1336456
0,870,0.00270679,0.04414145,0.1335125
0,873,0.002703225,0.04409796,0.13338
0,876,0.002699642,0.04405457,0.1332481
0,879,0.002696042,0.04401128,0.1331167
0,882,0.002692425,0.04396808,0.1329858
0,885,0.00268879,0.04392496,0.1328554
0,888,0.002685138,0.04388193,0.1327254
0,891,0.002681468,0.04383899,0.132596
0,894,0.00267778,0.04379612,0.132467
0,897,0.002674075,0.04375333,0.1323385
0,900,0.002670352,0.04371062,0.1322104
