"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,982,0.2208965
0,983,0.220009
0,984,0.2191252
0,985,0.218245
0,986,0.2173686
0,987,0.2164959
0,988,0.2156268
0,989,0.2147613
0,990,0.2138995
0,991,0.2130412
0,992,0.2121866
0,993,0.2113356
0,994,0.2104881
0,995,0.2096441
0,996,0.2088037
0,997,0.2079668
0,998,0.2071334
0,999,0.2063035
0,1000,0.205477
0,1001,0.2046541
0,1002,0.2038345
0,1003,0.2030184
0,1004,0.2022056
0,1005,0.2013963
0,1006,0.2005904
0,1007,0.1997878
0,1008,0.1989886
0,1009,0.1981927
0,1010,0.1974001
0,1011,0.1966109
0,1012,0.1958249
0,1013,0.1950422
0,1014,0.1942628
0,1015,0.1934867
0,1016,0.1927138
0,1017,0.1919441
0,1018,0.1911776
0,1019,0.1904143
0,1020,0.1896542
0,1021,0.1888973
0,1022,0.1881435
0,1023,0.1873928
0,1024,0.1866453
0,1025,0.1859009
0,1026,0.1851596
0,1027,0.1844214
0,1028,0.1836863
0,1029,0.1829543
0,1030,0.1822252
0,1031,0.1814992
0,1032,0.1807763
0,1033,0.1800563
0,1034,0.1793394
0,1035,0.1786254
0,1036,0.1779144
0,1037,0.1772064
0,1038,0.1765013
0,1039,0.1757991
0,1040,0.1750999
0,1041,0.1744035
0,1042,0.1737101
0,1043,0.1730195
0,1044,0.1723318
0,1045,0.171647
0,1046,0.170965
0,1047,0.1702859
0,1048,0.1696095
0,1049,0.168936
0,1050,0.1682653
0,1051,0.1675973
0,1052,0.1669321
0,1053,0.1662697
0,1054,0.16561
0,1055,0.1649531
0,1056,0.1642989
0,1057,0.1636474
0,1058,0.1629986
0,1059,0.1623525
0,1060,0.1617091
0,1061,0.1610683
0,1062,0.1604302
0,1063,0.1597947
0,1064,0.1591619
0,1065,0.1585316
0,1066,0.157904
0,1067,0.157279
0,1068,0.1566566
0,1069,0.1560367
0,1070,0.1554195
0,1071,0.1548048
0,1072,0.1541926
0,1073,0.153583
0,1074,0.1529758
0,1075,0.1523712
0,1076,0.1517691
0,1077,0.1511695
0,1078,0.1505724
0,1079,0.1499777
0,1080,0.1493855
0,1081,0.1487957
0,1082,0.1482084
0,1083,0.1476235
0,1084,0.147041
0,1085,0.1464609
0,1086,0.1458832
0,1087,0.1453079
0,1088,0.144735
0,1089,0.1441644
0,1090,0.1435962
0,1091,0.1430303
0,1092,0.1424668
0,1093,0.1419055
0,1094,0.1413466
0,1095,0.14079
0,1096,0.1402357
0,1097,0.1396836
0,1098,0.1391339
0,1099,0.1385864
0,1100,0.1380411
0,1101,0.1374981
0,1102,0.1369573
0,1103,0.1364188
0,1104,0.1358824
0,1105,0.1353483
0,1106,0.1348164
0,1107,0.1342867
0,1108,0.1337592
0,1109,0.1332338
0,1110,0.1327106
0,1111,0.1321895
0,1112,0.1316706
0,1113,0.1311538
0,1114,0.1306391
0,1115,0.1301266
0,1116,0.1296161
0,1117,0.1291078
0,1118,0.1286015
0,1119,0.1280973
0,1120,0.1275952
0,1121,0.1270951
0,1122,0.1265971
0,1123,0.1261012
0,1124,0.1256073
0,1125,0.1251153
0,1126,0.1246255
0,1127,0.1241376
0,1128,0.1236517
0,1129,0.1231678
0,1130,0.1226859
0,1131,0.122206
0,1132,0.121728
0,1133,0.121252
0,1134,0.1207779
0,1135,0.1203058
0,1136,0.1198356
0,1137,0.1193673
0,1138,0.1189009
0,1139,0.1184365
0,1140,0.1179739
0,1141,0.1175133
0,1142,0.1170545
0,1143,0.1165976
0,1144,0.1161426
0,1145,0.1156895
0,1146,0.1152382
0,1147,0.1147887
0,1148,0.1143411
0,1149,0.1138953
0,1150,0.1134513
0,1151,0.1130091
0,1152,0.1125688
0,1153,0.1121302
0,1154,0.1116934
0,1155,0.1112584
0,1156,0.1108252
0,1157,0.1103938
0,1158,0.1099641
0,1159,0.1095361
0,1160,0.1091099
0,1161,0.1086855
0,1162,0.1082628
0,1163,0.1078418
0,1164,0.1074225
0,1165,0.1070049
0,1166,0.106589
0,1167,0.1061748
0,1168,0.1057623
0,1169,0.1053515
0,1170,0.1049424
0,1171,0.1045349
0,1172,0.1041291
0,1173,0.1037249
0,1174,0.1033224
0,1175,0.1029215
0,1176,0.1025222
0,1177,0.1021246
0,1178,0.1017286
0,1179,0.1013342
0,1180,0.1009414
0,1181,0.1005502
0,1182,0.1001605
0,1183,0.09977251
0,1184,0.09938605
0,1185,0.09900116
0,1186,0.09861784
0,1187,0.09823607
0,1188,0.09785584
0,1189,0.09747717
0,1190,0.09710003
0,1191,0.09672442
0,1192,0.09635033
0,1193,0.09597777
0,1194,0.09560671
0,1195,0.09523716
0,1196,0.09486911
0,1197,0.09450254
0,1198,0.09413747
0,1199,0.09377386
0,1200,0.09341174
0,1201,0.09305108
0,1202,0.09269188
0,1203,0.09233414
0,1204,0.09197785
0,1205,0.09162299
0,1206,0.09126958
0,1207,0.09091759
0,1208,0.09056703
0,1209,0.09021788
0,1210,0.08987015
0,1211,0.08952382
0,1212,0.0891789
0,1213,0.08883537
0,1214,0.08849323
0,1215,0.08815248
0,1216,0.08781309
0,1217,0.08747508
0,1218,0.08713844
0,1219,0.08680316
0,1220,0.08646923
0,1221,0.08613665
0,1222,0.08580541
0,1223,0.08547551
0,1224,0.08514694
0,1225,0.0848197
0,1226,0.08449377
0,1227,0.08416916
0,1228,0.08384586
0,1229,0.08352386
0,1230,0.08320317
0,1231,0.08288375
0,1232,0.08256564
0,1233,0.0822488
0,1234,0.08193324
0,1235,0.08161894
0,1236,0.08130591
0,1237,0.08099415
0,1238,0.08068363
0,1239,0.08037437
0,1240,0.08006635
0,1241,0.07975958
0,1242,0.07945403
0,1243,0.07914971
0,1244,0.07884662
0,1245,0.07854474
0,1246,0.07824408
0,1247,0.07794461
0,1248,0.07764637
0,1249,0.07734932
0,1250,0.07705346
0,1251,0.0767588
0,1252,0.07646532
0,1253,0.07617302
0,1254,0.07588189
0,1255,0.07559193
0,1256,0.07530313
0,1257,0.07501549
0,1258,0.07472901
0,1259,0.07444368
0,1260,0.07415949
0,1261,0.07387643
0,1262,0.07359452
0,1263,0.07331373
0,1264,0.07303407
0,1265,0.07275553
0,1266,0.0724781
0,1267,0.07220179
0,1268,0.07192658
0,1269,0.07165247
0,1270,0.07137946
0,1271,0.07110754
0,1272,0.07083672
0,1273,0.07056697
0,1274,0.0702983
0,1275,0.0700307
0,1276,0.06976418
0,1277,0.06949873
0,1278,0.06923433
0,1279,0.06897099
0,1280,0.06870869
0,1281,0.06844745
0,1282,0.06818724
0,1283,0.06792808
0,1284,0.06766996
0,1285,0.06741287
0,1286,0.06715681
